Type,Name,Age,Breed,Gender,Color,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PhotoAmt,AdoptionSpeed
2,1,3,1,1,2,1,1,2,2,2,1,1,100,0,1.0,2
2,1,1,1,1,2,2,2,3,3,3,1,1,0,0,2.0,0
1,1,1,1,1,2,2,2,1,1,2,1,1,0,0,7.0,3
1,1,4,1,2,2,2,1,1,1,2,1,1,150,0,8.0,2
1,1,1,1,1,1,2,1,2,2,2,1,1,0,0,3.0,2
2,0,3,1,2,2,2,1,2,2,2,1,1,0,0,2.0,2
2,1,12,2,1,1,2,3,2,2,3,1,1,300,0,3.0,1
1,1,0,1,2,3,2,1,2,2,2,1,6,0,0,9.0,3
2,0,2,1,2,1,2,2,2,2,2,1,1,0,0,6.0,1
2,1,12,1,2,2,2,2,3,3,3,1,1,0,0,2.0,4
1,1,2,1,1,3,2,1,2,1,2,1,1,0,0,7.0,1
2,1,3,1,2,3,3,3,1,1,2,1,1,50,0,2.0,1
1,1,2,1,1,3,2,3,1,1,2,1,1,0,0,1.0,2
2,1,2,1,3,3,1,2,2,2,3,1,7,0,0,1.0,1
1,1,3,1,2,3,2,2,3,3,3,1,1,0,0,2.0,2
1,1,78,2,1,2,2,2,3,3,3,1,1,0,0,2.0,4
2,1,6,1,2,1,1,1,1,1,1,1,1,0,0,1.0,3
1,1,8,2,2,1,2,1,2,1,1,1,1,10,0,2.0,4
1,1,2,1,2,1,2,1,2,1,2,1,1,0,0,8.0,2
2,0,1,1,3,3,1,1,2,2,2,1,5,0,0,1.0,4
1,1,12,1,2,2,2,2,2,1,1,1,1,0,0,7.0,2
1,1,3,1,2,1,2,1,2,1,2,1,3,0,0,5.0,4
2,1,0,1,3,3,2,2,2,2,3,1,10,0,0,0.0,4
1,1,10,2,2,3,2,2,1,1,1,1,1,0,0,0.0,4
2,1,3,1,1,2,1,1,2,1,2,1,1,0,0,19.0,1
2,1,36,2,1,1,3,2,1,1,1,1,1,0,0,3.0,2
2,1,2,2,1,1,2,2,2,2,2,1,1,0,0,11.0,1
2,1,1,1,2,1,2,1,2,2,2,1,1,0,0,2.0,2
1,1,14,1,1,2,3,1,1,1,2,1,1,1,0,0.0,3
2,1,1,1,2,2,1,1,2,1,2,1,1,0,0,1.0,2
1,1,4,2,3,2,1,2,1,1,1,1,2,0,0,5.0,3
2,1,1,1,1,1,1,1,2,2,2,1,1,0,0,1.0,1
1,1,24,1,1,2,2,1,1,1,2,1,5,0,0,1.0,4
2,0,4,1,2,3,1,1,2,2,2,1,2,0,0,7.0,3
2,1,3,1,2,2,1,1,1,2,2,1,1,1,0,5.0,4
2,1,12,1,2,1,2,3,2,2,2,1,1,0,0,5.0,1
2,0,24,2,2,2,2,2,1,1,3,1,3,0,0,2.0,4
2,1,2,1,2,1,1,2,2,2,2,1,1,0,0,3.0,1
1,1,12,1,1,1,2,1,2,2,2,1,1,0,0,4.0,1
1,1,12,1,1,1,2,2,1,1,2,1,1,0,0,1.0,3
2,1,2,2,2,1,2,2,2,1,2,1,1,0,0,13.0,3
2,1,1,1,3,3,1,1,2,2,2,1,3,0,0,1.0,2
2,1,24,2,2,1,2,3,3,3,3,2,6,0,0,1.0,1
1,1,5,2,1,1,2,1,1,1,1,1,1,0,0,6.0,3
1,1,12,1,1,2,2,2,2,1,1,1,1,0,0,2.0,4
1,1,4,1,1,2,2,1,2,2,2,1,2,0,0,11.0,4
2,1,5,1,1,2,1,3,1,1,2,1,1,0,0,13.0,3
1,1,72,1,2,2,2,1,1,1,1,1,1,0,0,3.0,4
1,1,1,1,3,2,2,1,3,3,2,1,9,0,0,3.0,3
2,1,60,1,1,3,3,3,1,1,1,1,1,0,0,3.0,2
1,1,1,2,2,1,2,2,2,1,1,1,2,0,0,13.0,3
2,1,6,1,1,3,2,1,1,1,1,1,1,100,0,1.0,4
1,1,2,1,1,2,2,1,1,1,2,1,1,0,0,3.0,3
1,1,12,2,2,1,2,2,1,1,1,1,2,0,0,5.0,4
